time,DrinkingWaterExtractionPump_Q,DrinkingWaterExtractionPump_Q_target,DrinkingWaterExtractionPump_Q_target_violation,Inflow_Q,LowerChannel.H[1],LowerChannel.H[1]_max,LowerChannel.H[1]_min,LowerChannel.H[1]_target_violation,LowerChannel.H[2],LowerChannel.H[2]_max,LowerChannel.H[2]_min,LowerChannel.H[2]_target_violation,LowerControlStructure_Q,MiddleChannel.H[1],MiddleChannel.H[1]_max,MiddleChannel.H[1]_min,MiddleChannel.H[1]_target_violation,MiddleChannel.H[2],MiddleChannel.H[2]_max,MiddleChannel.H[2]_min,MiddleChannel.H[2]_target_violation,UpperChannel.H[1],UpperChannel.H[1]_max,UpperChannel.H[1]_min,UpperChannel.H[1]_target_violation,UpperChannel.H[2],UpperChannel.H[2]_max,UpperChannel.H[2]_min,UpperChannel.H[2]_target_violation,UpperControlStructure_Q
2013-01-01 01:00:00,0.560027,0.560000,0.000061,1.000000,0.100000,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,2.000000,0.600000,0.850000,0.350000,nan,0.500000,0.850000,0.350000,nan,1.100000,1.350000,0.850000,nan,1.000000,1.350000,0.850000,nan,2.000000
2013-01-01 02:00:00,0.490031,0.490000,0.000061,1.000000,0.098144,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.345680,0.568238,0.850000,0.350000,nan,0.567095,0.850000,0.350000,nan,1.061906,1.350000,0.850000,nan,1.061905,1.350000,0.850000,nan,0.933857
2013-01-01 03:00:00,0.490031,0.490000,0.000061,1.000000,0.019198,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.389076,0.597803,0.850000,0.350000,nan,0.564447,0.850000,0.350000,nan,1.089239,1.350000,0.850000,nan,1.051176,1.350000,0.850000,nan,0.953877
2013-01-01 04:00:00,0.560027,0.560000,0.000061,1.000000,0.008231,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.389744,0.619298,0.850000,0.350000,nan,0.576903,0.850000,0.350000,nan,1.085744,1.350000,0.850000,nan,1.038803,1.350000,0.850000,nan,1.044080
2013-01-01 05:00:00,0.770014,0.770000,0.000061,1.000000,0.006528,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.361000,0.656119,0.850000,0.350000,nan,0.596900,0.850000,0.350000,nan,1.041690,1.350000,0.850000,nan,0.978874,1.350000,0.850000,nan,1.288842
2013-01-01 06:00:00,0.980001,0.980000,0.000061,1.000000,0.004500,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.300142,0.696011,0.850000,0.350000,nan,0.622912,0.850000,0.350000,nan,0.968120,1.350000,0.850000,nan,0.885690,1.350000,0.850000,nan,1.463207
2013-01-01 07:00:00,1.259984,1.260000,0.000061,1.000000,0.002567,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.230342,0.643185,0.850000,0.350000,nan,0.566754,0.850000,0.350000,nan,0.929659,1.350000,0.850000,nan,0.856615,1.350000,0.850000,nan,1.187597
2013-01-01 08:00:00,1.329980,1.330000,0.000061,1.000000,0.002280,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.215092,0.556948,0.850000,0.350000,nan,0.475224,0.850000,0.350000,nan,0.916473,1.350000,0.850000,nan,0.851344,1.350000,0.850000,nan,1.051271
2013-01-01 09:00:00,1.259984,1.260000,0.000061,1.500000,0.003774,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.272086,0.540236,0.850000,0.350000,nan,0.435888,0.850000,0.350000,nan,0.962019,1.350000,0.850000,nan,0.850300,1.350000,0.850000,nan,1.376382
2013-01-01 10:00:00,1.119993,1.120000,0.000061,2.000000,0.014311,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.549777,0.583425,0.850000,0.350000,nan,0.442042,0.850000,0.350000,nan,1.031915,1.350000,0.850000,nan,0.849944,1.350000,0.850000,0.000130,1.806835
